run_id,timestamp,parent_run_id,category,prompt_summary,author,file_name,original_file,modified_file,ai_tool,rf_orig_pred,rf_orig_conf,rf_mod_pred,rf_mod_conf,rf_evasion,nb_orig_pred,nb_orig_conf,nb_mod_pred,nb_mod_conf,nb_evasion,sgd_orig_pred,sgd_orig_conf,sgd_mod_pred,sgd_mod_conf,sgd_evasion,nn_orig_pred,nn_orig_conf,nn_mod_pred,nn_mod_conf,nn_evasion,l1_distance,l2_distance,cosine_distance,relative_l2,js_divergence,features_changed_pct,max_feature_change,avg_feature_change,stealth_score,stealth_category,orig_accuracy_rate,mod_accuracy_rate,evasion_count,evasion_rate_pct,consensus_prediction,result_type,json_path,notes
renaming_20260212_cbb5,2026-02-12T08:15:52.267482,,renaming,"Rename all variables, functions, parameters, and class names to generic, convention-neutral alternatives. Use names like data, result, value, item, process, handle, compute. Replace author-specific na",aleju,arithmetic.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\arithmetic.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_renaming_20260212_6c2d\modified_arithmetic.py,ollama/qwen3-coder:30b,aleju,0.9803,UNKNOWN,0.6018,True,aleju,1.0000,aleju,1.0000,False,aleju,0.9121,aleju,0.8763,False,aleju,1.0000,aleju,0.9950,False,26.0564,1.3357,0.8920,1.3357,0.6477,5.6583,0.5282,0.0022,0.7084,low,100.0000,75.0000,1,25.0000,aleju,partial_evasion,,batch=batch_renaming_20260212_6c2d
renaming_20260212_3375,2026-02-12T08:16:06.603373,,renaming,"Rename all variables, functions, parameters, and class names to generic, convention-neutral alternatives. Use names like data, result, value, item, process, handle, compute. Replace author-specific na",aleju,check_cartoon.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_cartoon.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_renaming_20260212_6c2d\modified_check_cartoon.py,ollama/qwen3-coder:30b,aleju,0.8812,aleju,0.8762,False,aleju,1.0000,aleju,1.0000,False,aleju,0.7982,aleju,0.7914,False,aleju,0.9990,aleju,0.9989,False,0.1273,0.0401,0.0008,0.0401,0.0087,0.0583,0.0215,0.0000,0.0141,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_renaming_20260212_6c2d
renaming_20260212_4707,2026-02-12T08:16:22.968287,,renaming,"Rename all variables, functions, parameters, and class names to generic, convention-neutral alternatives. Use names like data, result, value, item, process, handle, compute. Replace author-specific na",aleju,check_heatmaps.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_heatmaps.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_renaming_20260212_6c2d\modified_check_heatmaps.py,ollama/qwen3-coder:30b,aleju,0.9939,aleju,0.9939,False,aleju,1.0000,aleju,1.0000,False,aleju,0.8646,aleju,0.8773,False,aleju,0.9999,aleju,1.0000,False,4.8523,0.8528,0.3636,0.8528,0.1633,0.5333,0.3103,0.0004,0.3987,medium,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_renaming_20260212_6c2d
renaming_20260212_79e0,2026-02-12T08:16:32.678474,,renaming,"Rename all variables, functions, parameters, and class names to generic, convention-neutral alternatives. Use names like data, result, value, item, process, handle, compute. Replace author-specific na",aleju,convolutional.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\convolutional.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_renaming_20260212_6c2d\modified_convolutional.py,ollama/qwen3-coder:30b,aleju,0.9950,UNKNOWN,0.6701,True,aleju,1.0000,aleju,0.9999,False,aleju,0.9059,aleju,0.8333,False,aleju,1.0000,aleju,0.9765,False,22.1194,1.2902,0.8323,1.2902,0.6318,4.4000,0.3976,0.0018,0.6849,low,100.0000,75.0000,1,25.0000,aleju,partial_evasion,,batch=batch_renaming_20260212_6c2d
renaming_20260212_e3b3,2026-02-12T08:16:41.823161,,renaming,"Rename all variables, functions, parameters, and class names to generic, convention-neutral alternatives. Use names like data, result, value, item, process, handle, compute. Replace author-specific na",aleju,heatmaps.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\heatmaps.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_renaming_20260212_6c2d\modified_heatmaps.py,ollama/qwen3-coder:30b,aleju,0.8877,UNKNOWN,0.7374,True,aleju,1.0000,aleju,0.9591,False,aleju,0.8515,UNKNOWN,0.3705,True,aleju,1.0000,aleju,0.6490,False,17.2789,1.0947,0.5992,1.0947,0.5324,3.4250,0.3214,0.0014,0.5931,low,100.0000,50.0000,2,50.0000,UNKNOWN,partial_evasion,,batch=batch_renaming_20260212_6c2d
renaming_20260212_b2c7,2026-02-12T08:22:05.453883,,renaming,"Rename all variables, functions, parameters, and class names to generic, convention-neutral alternatives. Use names like data, result, value, item, process, handle, compute. Replace author-specific na",aleju,arithmetic.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\arithmetic.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_renaming_20260212_fa56\modified_arithmetic.py,ollama/qwen3-coder:30b,aleju,0.9803,UNKNOWN,0.6627,True,aleju,1.0000,aleju,0.9999,False,aleju,0.9121,aleju,0.8701,False,aleju,1.0000,aleju,0.9775,False,25.5903,1.2705,0.8071,1.2705,0.6436,5.6417,0.5200,0.0021,0.6821,low,100.0000,75.0000,1,25.0000,aleju,partial_evasion,,batch=batch_renaming_20260212_fa56
renaming_20260212_b038,2026-02-12T08:22:27.654378,,renaming,"Rename all variables, functions, parameters, and class names to generic, convention-neutral alternatives. Use names like data, result, value, item, process, handle, compute. Replace author-specific na",aleju,check_cartoon.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_cartoon.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_renaming_20260212_fa56\modified_check_cartoon.py,ollama/qwen3-coder:30b,aleju,0.8812,aleju,0.8762,False,aleju,1.0000,aleju,1.0000,False,aleju,0.7982,aleju,0.7914,False,aleju,0.9990,aleju,0.9989,False,0.1273,0.0401,0.0008,0.0401,0.0087,0.0583,0.0215,0.0000,0.0141,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_renaming_20260212_fa56
renaming_20260212_09c1,2026-02-12T08:22:52.954088,,renaming,"Rename all variables, functions, parameters, and class names to generic, convention-neutral alternatives. Use names like data, result, value, item, process, handle, compute. Replace author-specific na",aleju,check_heatmaps.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_heatmaps.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_renaming_20260212_fa56\modified_check_heatmaps.py,ollama/qwen3-coder:30b,aleju,0.9939,aleju,0.9939,False,aleju,1.0000,aleju,1.0000,False,aleju,0.8646,aleju,0.8773,False,aleju,0.9999,aleju,1.0000,False,4.8523,0.8528,0.3636,0.8528,0.1633,0.5333,0.3103,0.0004,0.3987,medium,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_renaming_20260212_fa56
renaming_20260212_46ca,2026-02-12T08:23:06.534232,,renaming,"Rename all variables, functions, parameters, and class names to generic, convention-neutral alternatives. Use names like data, result, value, item, process, handle, compute. Replace author-specific na",aleju,convolutional.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\convolutional.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_renaming_20260212_fa56\modified_convolutional.py,ollama/qwen3-coder:30b,aleju,0.9950,UNKNOWN,0.7014,True,aleju,1.0000,aleju,0.9944,False,aleju,0.9059,aleju,0.8391,False,aleju,1.0000,aleju,0.9060,False,21.7493,1.2894,0.8312,1.2894,0.6415,4.4083,0.6043,0.0018,0.6865,low,100.0000,75.0000,1,25.0000,aleju,partial_evasion,,batch=batch_renaming_20260212_fa56
renaming_20260212_1852,2026-02-12T08:23:18.825144,,renaming,"Rename all variables, functions, parameters, and class names to generic, convention-neutral alternatives. Use names like data, result, value, item, process, handle, compute. Replace author-specific na",aleju,heatmaps.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\heatmaps.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_renaming_20260212_fa56\modified_heatmaps.py,ollama/qwen3-coder:30b,aleju,0.8877,UNKNOWN,0.7413,True,aleju,1.0000,aleju,0.9972,False,aleju,0.8515,aleju,0.5183,False,aleju,1.0000,aleju,0.9163,False,16.2387,1.0175,0.5177,1.0175,0.4762,3.3833,0.3818,0.0014,0.5573,low,100.0000,75.0000,1,25.0000,aleju,partial_evasion,,batch=batch_renaming_20260212_fa56
renaming_20260212_5198,2026-02-12T08:23:39.387247,,renaming,"Transform the Python code by implementing aggressive stylistic obfuscation to evade attribution models:

1. **Complete naming convention overhaul**: Replace ALL identifiers (variables, functions, clas",aleju,arithmetic.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\arithmetic.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_renaming_20260212_5342\modified_arithmetic.py,ollama/qwen3-coder:30b,aleju,0.9803,UNKNOWN,0.6951,True,aleju,1.0000,aleju,0.9933,False,aleju,0.9121,aleju,0.4369,False,aleju,1.0000,aleju,0.7647,False,27.2570,1.1887,0.7065,1.1887,0.5573,5.9833,0.3229,0.0023,0.6354,low,100.0000,75.0000,1,25.0000,aleju,partial_evasion,,batch=batch_renaming_20260212_5342
renaming_20260212_dc31,2026-02-12T08:24:01.325443,,renaming,"Transform the Python code by implementing aggressive stylistic obfuscation to evade attribution models:

1. **Complete naming convention overhaul**: Replace ALL identifiers (variables, functions, clas",aleju,check_cartoon.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_cartoon.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_renaming_20260212_5342\modified_check_cartoon.py,ollama/qwen3-coder:30b,aleju,0.8812,aleju,0.8514,False,aleju,1.0000,aleju,1.0000,False,aleju,0.7982,aleju,0.7901,False,aleju,0.9990,aleju,0.9987,False,0.1829,0.0434,0.0009,0.0434,0.0122,0.0667,0.0215,0.0000,0.0159,high,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_renaming_20260212_5342
renaming_20260212_eb47,2026-02-12T08:24:24.496907,,renaming,"Transform the Python code by implementing aggressive stylistic obfuscation to evade attribution models:

1. **Complete naming convention overhaul**: Replace ALL identifiers (variables, functions, clas",aleju,check_heatmaps.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\dataset_splits\aleju\testing\check_heatmaps.py,C:\Users\ees10\Documents\Repos\Adversarial_Stylometry\automation\modified_files\batch_renaming_20260212_5342\modified_check_heatmaps.py,ollama/qwen3-coder:30b,aleju,0.9939,aleju,0.9791,False,aleju,1.0000,aleju,1.0000,False,aleju,0.8646,aleju,0.8855,False,aleju,0.9999,aleju,1.0000,False,7.6437,1.0432,0.5441,1.0432,0.2553,0.9250,0.3292,0.0006,0.5161,low,100.0000,100.0000,0,0.0000,aleju,failed,,batch=batch_renaming_20260212_5342
